Task,TaskName,Model,Preprocess,F1_mean,F1_std,BA_mean,BA_std,Acc_mean,Acc_std
P2_mg_presence,MG Presence,RF,raw,0.6846542834383902,0.16469303170847205,0.6902672652460771,0.15477568095652866,0.7634013685370286,0.15777343659450116
P2_mg_presence,MG Presence,SVM,raw,0.4352302392209335,0.04405927367380786,0.5020865336746044,0.096721386948289,0.580297645281137,0.11391971655864036
P2_mg_presence,MG Presence,Spectrum-KAN,raw,0.6153841275789561,0.18631730441606,0.6624210844807982,0.17413645890668217,0.6979271285002703,0.1462766998902604
P3_mba_presence,MBA Presence,1D-CNN,raw,0.5336934586377067,0.09539789241398543,0.6003056231262969,0.12587419941436606,0.6429781374235063,0.045705743332195806
P3_mba_presence,MBA Presence,Chem-KAN,raw,0.5947391234191277,0.19394466630090676,0.6345928130301713,0.19180402701797658,0.7350611970710974,0.12713959516914097
P3_mba_presence,MBA Presence,HistGradientBoosting,raw,0.6720352908665933,0.1756535595842451,0.6867227015867146,0.1934188414544745,0.763823160311027,0.10323502189801696
P3_mba_presence,MBA Presence,KNN,raw,0.6113102067615813,0.10287236942602615,0.6366891451702928,0.12378807424434517,0.7502582755488513,0.06516194727244151
P3_mba_presence,MBA Presence,PLS-DA,raw,0.7275322766057493,0.182785310668591,0.7575449170007852,0.16110604117902624,0.8319302209025301,0.07658548104363648
P3_mba_presence,MBA Presence,RF,raw,0.7722747298368945,0.050770969366844186,0.7614261399541293,0.07040810942530554,0.846795337103989,0.05709087811552322
P3_mba_presence,MBA Presence,SVM,raw,0.5394987714821757,0.11831828086271229,0.600621748310026,0.11344514882448248,0.7081225943214919,0.12790419563171956
P3_mba_presence,MBA Presence,Spectrum-KAN,raw,0.6366601686640412,0.1768717696365283,0.6693274141238172,0.1579583780453881,0.7768372341619721,0.10029125782594431
