Task,TaskName,Model,Preprocess,Fold,MacroF1,BalancedAcc,Accuracy,FitSeconds,PredictSeconds
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,1,0.9239433509096432,0.9212801087801088,0.9236641221374046,29.556005284190174,0.0030592083930969
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,2,0.948360198899638,0.9487785657998424,0.946153846153846,26.085945054888725,0.0914780646562576
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,3,0.8787150856311757,0.8729791639134841,0.875,27.701883159577847,0.0099860355257987
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-CNN,p1,4,0.9228095386858274,0.9214134627348513,0.9230769230769232,25.07985616475344,0.0072008073329925
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,0,0.969017094017094,0.969017094017094,0.9694656488549618,13.39233560115099,0.0705139562487602
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,1,0.968401470066068,0.9687257187257188,0.9694656488549618,12.444437600672243,0.0045579820871353
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,2,0.9842066146413972,0.9858156028368796,0.9846153846153848,16.015766486525536,0.1013117134571075
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,3,0.9916603101957792,0.9904761904761904,0.9921875,17.582835242152214,0.0089649111032485
G1_thiram_molar_grade,Thiram Positive Molar Grade,1D-ResNet,p1,4,0.9756776556776556,0.9750487329434696,0.9769230769230768,19.112571641802788,0.0713386386632919
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,0,1.0,1.0,1.0,21.001019835472107,0.0106743201613426
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,1,0.9696214656384888,0.969988344988345,0.9694656488549618,24.298506163060665,0.0040043592453002
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,2,0.9927459097181156,0.9925925925925926,0.9923076923076924,29.60767120867968,0.010436862707138
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,3,0.9677345537757436,0.9666138055592264,0.96875,18.799168422818184,0.0065218955278396
G1_thiram_molar_grade,Thiram Positive Molar Grade,Spectrum-KAN,p1,4,0.962551686717683,0.961913649371656,0.9615384615384616,18.709058605134487,0.0099609717726707
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,0,0.9011458988479653,0.9001068376068376,0.900763358778626,20.89688767492771,0.0793285146355629
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,1,0.9076109076109076,0.9048174048174048,0.9083969465648856,25.336907751858234,0.0619772523641586
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,2,0.8911572282950685,0.8849612210194517,0.8923076923076924,23.10322953760624,0.0052028894424438
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,3,0.8831873571972583,0.8759790317607153,0.8828125,29.48716357350349,0.0098823308944702
G1_thiram_molar_grade,Thiram Positive Molar Grade,KAN-CNN,p1,4,0.859925788497217,0.8552279042760565,0.8615384615384616,20.399292021989822,0.0767609700560569
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,0,0.6400085180270939,0.6675475687103595,0.6692307692307692,9.51389578729868,0.0809242874383926
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,1,0.7126153284004749,0.7218786079498599,0.7153846153846154,10.494024120271206,0.0160602629184722
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,2,0.5945117532017189,0.6332256675279931,0.625,7.099392049014568,0.0026362687349319
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,3,0.6699000910544016,0.6832652050043354,0.6846153846153846,9.507683858275414,0.003072902560234
G2_mg_molar_grade,MG Positive Molar Grade,1D-CNN,p1,4,0.6293123929455876,0.6398332922723168,0.6384615384615384,12.708790235221386,0.0754044577479362
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,p1,0,0.7184506209343584,0.7218111346018322,0.7230769230769231,7.423865973949432,0.0710231065750122
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,p1,1,0.8002931148856081,0.8066798614547254,0.8,7.825313046574593,0.0099395960569381
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,p1,2,0.7712121212121211,0.773040482342808,0.7734375,8.713177613914013,0.0075153782963752
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,p1,3,0.724335029370398,0.727870680044593,0.7307692307692307,7.805656224489212,0.0042500644922256
G2_mg_molar_grade,MG Positive Molar Grade,1D-ResNet,p1,4,0.7143535243779492,0.7175207358134189,0.7153846153846154,7.383688539266586,0.0105664879083633
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,0,0.3768803975490906,0.4425651867512332,0.4461538461538462,5.590311549603939,0.0045854300260543
G2_mg_molar_grade,MG Positive Molar Grade,Spectrum-KAN,p1,1,0.3122753940186839,0.3995670460168233,0.4,4.878648594021797,0.0063793510198593
