variant,folder_name,peak,peak_wn,n_spectra,mean_peak,std_peak,rsd_percent
p1,美5K6m5,MBA_1080,1080,13,4.327877042713963,0.1061507069742102,2.452720027083863
p1,美5K6m6,Thiram_1382,1382,19,6.392501933917736,0.14802503997460773,2.315604148497902
p1,美5K6m6,MG_1616,1616,19,2.305059280533722,0.29590741455687364,12.837301715223488
p1,美5K6m6,MBA_1080,1080,19,0.6856644053770283,0.15730494143476267,22.941972807858523
p1,美5m4,Thiram_1382,1382,16,0.4398558846503505,0.012513897532404972,2.8449994575729045
p1,美5m4,MG_1616,1616,16,-0.2592090973656581,0.014076940029848462,5.430727614467392
p1,美5m4,MBA_1080,1080,16,5.760571887425524,0.12489672143417024,2.1681305931933825
p1,美5m5,Thiram_1382,1382,16,3.3001355546122375,0.10955905495814132,3.3198349929905953
p1,美5m5,MG_1616,1616,16,-0.4301739776179377,0.0599840316093328,13.944133009042234
p1,美5m5,MBA_1080,1080,16,5.376584975350024,0.1776835678608016,3.3047662907854285
p1,美5m6,Thiram_1382,1382,20,7.7329356499042365,0.13970825250527125,1.806665137669953
p1,美5m6,MG_1616,1616,20,-0.348571327345186,0.16324949364483976,46.83388472832585
p1,美5m6,MBA_1080,1080,20,1.2197154664736207,0.13186143242621767,10.810835481774182
p1,美6,Thiram_1382,1382,20,7.6443986499606895,2.057548888290452,26.915771697765038
p1,美6,MG_1616,1616,20,-0.26261137371539395,0.15491125273129408,58.988782755152
p1,美6,MBA_1080,1080,20,0.8236921122140437,1.6103012183933103,195.49795299907632
p1,美6K4,Thiram_1382,1382,12,3.0251695039004165,0.08769033775274697,2.8986917142886015
p1,美6K4,MG_1616,1616,12,5.1619864882856605,0.1704856889436708,3.3027147461652993
p1,美6K4,MBA_1080,1080,12,-0.507179632208168,0.060200501617068705,11.869660726509592
p1,美6K4m4,Thiram_1382,1382,12,1.3188662895391485,0.7242970279522163,54.91815460726557
p1,美6K4m4,MG_1616,1616,12,1.6663943335726359,1.2475151718440163,74.86314293744799
p1,美6K4m4,MBA_1080,1080,12,6.270481215726907,1.2822506894194512,20.44899977059904
p1,美6K4m5,Thiram_1382,1382,12,3.176128593124414,0.030542671427219056,0.9616320791713817
p1,美6K4m5,MG_1616,1616,12,5.273208919816698,0.03477170810181192,0.6594031951045971
p1,美6K4m5,MBA_1080,1080,12,0.44147525155237477,0.09662513796885408,21.886875341049752
p1,美6K4m6,Thiram_1382,1382,12,2.0378900307307446,0.39589557388098123,19.426738828445096
p1,美6K4m6,MG_1616,1616,12,0.6125427589947179,0.4356816280004008,71.12672896752956
p1,美6K4m6,MBA_1080,1080,12,4.920304112640674,0.9719754778606792,19.754378095524473
p1,美6K5,Thiram_1382,1382,12,3.5053127789877827,0.1794040015533888,5.118059724336345
p1,美6K5,MG_1616,1616,12,4.940745183132718,0.2810847486648954,5.689116484381643
p1,美6K5,MBA_1080,1080,12,-0.1268282473673891,0.31297418197274846,246.7700914183116
p1,美6K5m4,Thiram_1382,1382,8,0.4596990486214545,0.14729222387901944,32.041011248711385
p1,美6K5m4,MG_1616,1616,8,0.326024889337245,0.30203367527318087,92.6412937021973
p1,美6K5m4,MBA_1080,1080,8,7.009760629084816,0.9337482942643052,13.320687305498105
p1,美6K5m5,Thiram_1382,1382,12,3.198851918865404,0.18898271541189623,5.9078294402238605
p1,美6K5m5,MG_1616,1616,12,4.824347015104355,0.6645438063693774,13.774792822506008
p1,美6K5m5,MBA_1080,1080,12,2.3496664523806086,0.8897496424942106,37.86706158198514
p1,美6K5m6,Thiram_1382,1382,5,2.922514752781086,0.5605268623665774,19.17960762501459
p1,美6K5m6,MG_1616,1616,5,4.902973722019437,1.0546215574457731,21.509834994820153
p1,美6K5m6,MBA_1080,1080,5,1.617219798703903,1.8934582512943643,117.08107041552722
p1,美6K6,Thiram_1382,1382,13,4.654741991254313,1.1581106578474332,24.880233104721604
p1,美6K6,MG_1616,1616,13,4.212033554785485,1.1015772352320892,26.153097331822927
p1,美6K6,MBA_1080,1080,13,0.30262433144436207,0.45130244072834697,149.1295952887779
p1,美6K6m4,Thiram_1382,1382,9,0.41682119442428484,0.1269525422574807,30.457314540549717
p1,美6K6m4,MG_1616,1616,9,0.07413255398050134,0.19440707302709198,262.24251369813294
p1,美6K6m4,MBA_1080,1080,9,6.736103700653222,0.5743904368151979,8.527042669481133
p1,美6K6m5,Thiram_1382,1382,9,0.9843957076885883,0.41202154338731906,41.85527630496955
p1,美6K6m5,MG_1616,1616,9,0.833721414023942,0.6928790892362033,83.10678814066132
p1,美6K6m5,MBA_1080,1080,9,6.396053592521817,0.5369385933562395,8.394842000448858
p1,美6K6m6,Thiram_1382,1382,14,3.8760431392099535,0.13668375379859896,3.5263733887765483
p1,美6K6m6,MG_1616,1616,14,5.023132851523551,0.16019643262970082,3.189173716182166
p1,美6K6m6,MBA_1080,1080,14,1.2990926019585507,0.301926696968747,23.241352965412425
p1,美6m4,Thiram_1382,1382,12,0.5367771188524829,0.13934162320061574,25.95893496699318
p1,美6m4,MG_1616,1616,12,0.003907574506669498,0.3557428837031878,9103.930919193002
p1,美6m4,MBA_1080,1080,12,7.042598553097747,0.6352337843652583,9.019877813223436
p1,美6m5,Thiram_1382,1382,12,0.55726777688888,0.20146181259262444,36.15170676426824
p1,美6m5,MG_1616,1616,12,0.3225820860485863,0.440748702240349,136.6314873957275
