sample_index,preprocess,wavenumber,value
279,raw,912.0,16910.966346153844
279,raw,913.0,16493.12560386472
279,raw,914.0,15857.13526570048
279,raw,915.0,15172.608695652169
279,raw,916.0,14441.44927536229
279,raw,917.0,13828.048309178723
279,raw,918.0,13364.521739130425
279,raw,919.0,12973.028985507248
279,raw,920.0,12704.18840579711
279,raw,921.0,12495.85507246377
279,raw,922.0,12428.705314009661
279,raw,923.0,12397.27777777778
279,raw,924.0,12485.442028985506
279,raw,925.0,12594.08937198067
279,raw,926.0,12810.272946859905
279,raw,927.0,13028.000000000007
279,raw,928.0,13261.333333333334
279,raw,929.0,13497.029126213585
279,raw,930.0,13848.485436893206
279,raw,931.0,14199.941747572828
279,raw,932.0,14360.086956521742
279,raw,933.0,14512.260869565216
279,raw,934.0,14531.808252427185
279,raw,935.0,14534.963592233009
279,raw,936.0,14286.097087378635
279,raw,937.0,13985.61165048544
279,raw,938.0,13638.072463768114
279,raw,939.0,13276.478260869551
279,raw,940.0,12921.980582524262
279,raw,941.0,12570.52427184466
279,raw,942.0,12329.669902912621
279,raw,943.0,12151.029126213587
279,raw,944.0,11976.330097087375
279,raw,945.0,11804.485436893205
279,raw,946.0,11657.757281553399
279,raw,947.0,11534.213592233007
279,raw,948.0,11471.85436893204
