sample_id,folder_name,mixture_order,family,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
S0132,K5m6,2,binary_MG_MBA,15.173839276271377,-15.079201498533733,9.311151,8.123612,14.373234,1.2711983
S0133,K6,1,single,27.112015289506374,-1.7555141220131403,36.10953,-7.678743,-18.603376,10.2373905
S0134,K6,1,single,27.099917234360227,-1.0627260408618164,36.04247,-7.5640683,-18.629448,10.275411
S0135,K6,1,single,27.44204121781678,-1.531168927251697,36.027515,-7.528124,-18.650707,10.299035
S0136,K6,1,single,27.497146327092107,-2.1445576673213527,36.174202,-7.9028034,-18.730577,10.348062
S0137,K6,1,single,28.025831291200134,-4.894808178443989,36.533474,-8.701557,-18.768728,10.320137
S0138,K6,1,single,27.729321939560357,-6.3165218076581535,36.642445,-8.9865055,-18.730064,10.344759
S0139,K6,1,single,27.092109921783933,-3.2623198343468562,36.44561,-8.531602,-18.69316,10.31003
S0140,K6,1,single,26.453420263655076,-6.6123318692805215,36.641373,-9.13557,-18.740892,10.335416
S0141,K6,1,single,28.249785814711498,-5.430527665950718,36.59769,-9.0270405,-18.76718,10.342379
S0142,K6,1,single,26.066068469910274,-5.412107204487763,36.575653,-9.043665,-18.790592,10.383261
S0143,K6,1,single,23.053101400448124,-10.261422122976912,36.72737,-9.7705345,-18.829792,10.404963
S0144,K6,1,single,23.653171330019134,-12.725510727263705,36.772663,-9.950088,-18.788015,10.401558
S0145,K6,1,single,26.989283056987805,-6.376226832572486,37.073124,-8.798441,-18.738403,10.239707
S0146,K6,1,single,27.793776543890537,-1.616893154722396,35.496235,-7.5560904,-18.637266,10.380372
S0147,K6m4,2,binary_MG_MBA,-13.50093498518131,-7.975356046365582,-24.756647,-30.254574,20.800997,11.673159
S0148,K6m4,2,binary_MG_MBA,-14.065956623990035,-8.006908155203828,-24.585247,-30.087166,20.74777,11.726036
S0149,K6m4,2,binary_MG_MBA,-14.041016969693962,-7.893331503844512,-25.036276,-29.925377,20.731329,11.742255
S0150,K6m4,2,binary_MG_MBA,-14.441538988364533,-7.760046193889111,-24.492973,-29.893782,20.805943,11.668128
S0151,K6m4,2,binary_MG_MBA,-14.236884188999479,-7.705767056733303,-24.460835,-29.769989,20.721987,11.752033
S0152,K6m4,2,binary_MG_MBA,-14.309719295465987,-7.872269783914508,-24.485577,-29.67354,20.71092,11.763098
S0153,K6m4,2,binary_MG_MBA,-14.601920223706529,-7.644809707460305,-24.530592,-29.59301,20.790876,11.683295
S0154,K6m4,2,binary_MG_MBA,-13.449488350265803,-8.117364531190699,-24.833914,-30.29896,20.780624,11.693556
S0155,K6m4,2,binary_MG_MBA,-14.062562522336815,-7.91210545850244,-24.932823,-30.083677,20.76501,11.708827
S0156,K6m4,2,binary_MG_MBA,-14.232873103081241,-7.788964683547226,-25.054829,-29.881346,20.712475,11.761461
S0157,K6m4,2,binary_MG_MBA,-14.241794770418212,-7.726307574788095,-25.063004,-29.78816,20.762701,11.711437
S0158,K6m4,2,binary_MG_MBA,-14.52099638432657,-7.781423770147262,-24.965721,-29.540607,20.770906,11.704602
S0159,K6m4,2,binary_MG_MBA,-14.546075910794306,-7.718647338027411,-24.93631,-29.517138,20.777134,11.697374
S0160,K6m4,2,binary_MG_MBA,-14.798683522964627,-7.657303613034838,-24.731096,-29.4592,20.776737,11.698635
S0161,K6m4,2,binary_MG_MBA,-14.865243278476663,-7.597490835616266,-24.733103,-29.42225,20.794155,11.680246
S0162,K6m5,2,binary_MG_MBA,-15.481407613491344,-18.15874354444845,-15.24475,-3.8321373,13.407222,-9.714661
S0163,K6m5,2,binary_MG_MBA,-15.378702049771327,-17.91785010624638,-15.237893,-3.7358623,13.392504,-9.729345
S0164,K6m5,2,binary_MG_MBA,-15.031213052725567,-16.926298936800965,-15.35051,-4.288292,13.408399,-9.712097
S0165,K6m5,2,binary_MG_MBA,-16.45709328090128,-16.64317890591539,-15.437482,-3.764276,13.392175,-9.728247
S0166,K6m5,2,binary_MG_MBA,-15.002371610887561,-17.633881921889905,-15.238784,-3.9353447,13.431934,-9.6913805
S0167,K6m5,2,binary_MG_MBA,-15.257364053823345,-16.04829735543785,-15.642058,-3.6250045,13.437909,-9.687739
S0168,K6m5,2,binary_MG_MBA,-15.708438985153988,-17.074281768919015,-14.727332,-3.6872795,13.368034,-9.752766
S0169,K6m5,2,binary_MG_MBA,-14.364794095079516,-17.296237435771612,-15.725478,-3.6885717,13.314679,-9.804845
S0170,K6m5,2,binary_MG_MBA,-15.635449779531257,-17.916132357467568,-15.223393,-4.534701,13.363799,-9.7545395
S0171,K6m5,2,binary_MG_MBA,-15.300170617389716,-17.861014785832634,-15.015137,-3.7350867,13.355724,-9.764288
S0172,K6m5,2,binary_MG_MBA,-15.067190645043704,-17.50974884147019,-14.960832,-4.0175905,13.44614,-9.675717
S0173,K6m5,2,binary_MG_MBA,-16.29400176282792,-17.162339978641985,-14.820726,-4.4930706,13.373989,-9.746174
S0174,K6m5,2,binary_MG_MBA,-15.666559729161026,-16.989341825090378,-15.414257,-4.6773515,13.375062,-9.744898
S0175,K6m5,2,binary_MG_MBA,-16.59257176912464,-17.20880124693926,-14.855642,-4.568082,13.342897,-9.776872
S0176,K6m5,2,binary_MG_MBA,-15.633125790850672,-17.471823800206447,-15.166956,-4.635112,13.38145,-9.737129
S0177,K6m6,2,binary_MG_MBA,-10.241850483104413,-24.529851826879334,3.1451027,9.926841,14.386057,1.9452038
S0178,K6m6,2,binary_MG_MBA,-12.210636700412286,-24.63808974620496,3.3913004,10.464819,14.333309,1.9155736
S0179,K6m6,2,binary_MG_MBA,-9.648280357705323,-27.608762588595194,3.0285912,9.902106,14.383108,1.862863
S0180,K6m6,2,binary_MG_MBA,-7.25547370813654,-28.259681638493305,3.3206198,9.995755,14.324464,1.7527163
S0181,K6m6,2,binary_MG_MBA,-10.314071309248371,-26.51453692387439,3.4740243,10.306801,14.337314,1.8859912
S0182,K6m6,2,binary_MG_MBA,-10.92793835760228,-27.932289722683887,3.078919,10.708723,14.374635,1.8856227
S0183,K6m6,2,binary_MG_MBA,-11.153042181210338,-26.655714472117708,3.7593951,11.140959,14.394936,1.8966105
S0184,K6m6,2,binary_MG_MBA,-10.925982837989553,-29.54351586409619,3.0388644,9.711134,14.375438,1.902696
S0185,K6m6,2,binary_MG_MBA,-9.818057825266004,-31.756973795193034,3.1159546,9.834308,14.365046,1.8455985
S0186,K6m6,2,binary_MG_MBA,-10.501708381020725,-35.5504339865569,4.1440063,10.6613245,14.365252,1.8688631
S0187,K6m6,2,binary_MG_MBA,-8.053366786226244,-32.00006103716061,4.1410847,10.309269,14.345098,1.8498253
S0188,K6m6,2,binary_MG_MBA,-7.334280269532543,-28.325376453251955,4.161106,10.997344,14.358868,1.854831
S0189,K6m6,2,binary_MG_MBA,-6.270655222290059,-29.90665488384068,4.1024756,10.056238,14.311603,1.9286402
S0190,K6m6,2,binary_MG_MBA,-4.320791379051792,-33.180065971300834,4.518388,10.161015,14.368595,1.8235998
S0191,m4,1,single,-18.513026201381667,-6.776315336256606,-15.361522,-29.276152,0.17148815,7.920531
S0192,m4,1,single,-18.57294949375223,-6.719357407974723,-15.483634,-28.920187,0.18565343,7.9895144
S0193,m4,1,single,-18.44139429373418,-6.2916292288610896,-15.488843,-29.061691,0.14509238,7.999183
S0194,m4,1,single,-18.99614472963736,-1.2196023928270379,-16.242271,-31.018543,-0.031701308,7.739063
S0195,m4,1,single,-18.464006485187365,-6.481581984308851,-15.09544,-29.90363,0.1257701,7.650214
S0196,m4,1,single,-18.51116599242346,-6.2218428371715735,-15.58299,-28.75881,0.23510012,8.15045
S0197,m4,1,single,-18.397825473110668,-6.7493253392767505,-15.038352,-30.86845,0.09708228,7.6390047
S0198,m4,1,single,-18.738189329065765,-5.975800617733466,-15.713163,-28.527514,0.25160927,8.07588
S0199,m4,1,single,-18.502670117862554,-6.665389375890655,-15.161913,-29.694965,0.07410633,7.693049
S0200,m4,1,single,-18.42801411588122,-6.771624501522087,-14.999339,-30.852907,0.109624,7.6514463
S0201,m4,1,single,-18.74305874470138,-6.336857758910157,-14.57104,-30.560898,0.19209641,7.570184
S0202,m4,1,single,-18.58713907737553,-6.092942923187943,-14.659545,-30.470932,0.19391555,7.567879
S0203,m4,1,single,-19.23539167824721,-5.62419862013087,-14.330854,-30.595274,0.029065697,7.711
S0204,m4,1,single,-18.917319205866157,-5.954928711938129,-14.290882,-30.872011,0.20448741,7.521269
S0205,m4,1,single,-18.282647870763686,-6.063581990529484,-15.435065,-28.781286,0.21026398,8.122537
S0206,m4,1,single,-18.720821614555827,-6.320140187226419,-15.229132,-29.983366,0.1062539,7.701194
S0207,m4,1,single,-18.41619412985175,-6.720607020820717,-15.268829,-30.16937,0.08214046,7.6346297
S0208,m4,1,single,-18.49701893236687,-6.57523510258427,-15.495976,-28.922363,0.25806808,8.111176
S0209,m4,1,single,-18.599818600420992,-6.58646068530204,-15.090966,-29.985716,0.08984071,7.620487
S0210,m4,1,single,-18.744418927734838,-6.314635102487271,-15.385282,-30.831072,0.13503449,7.599576
S0211,m5,1,single,-17.064660769873534,-6.375707511983099,-13.494913,-33.89177,1.0009954,6.8155675
S0212,m5,1,single,-16.56727818275301,-6.422082432483734,-13.328357,-34.122375,0.9371664,6.8755813
S0213,m5,1,single,-16.655627655911875,-6.991237847013066,-13.428433,-34.228058,1.0922902,6.7254834
S0214,m5,1,single,-16.301186349554065,-6.90443783793247,-13.187278,-34.380817,0.9602781,6.844141
S0215,m5,1,single,-16.411486689082455,-7.174523035254402,-13.196549,-34.423965,1.0437405,6.77167
S0216,m5,1,single,-16.807246062618056,-6.521424815565995,-13.786331,-33.918465,1.0426346,6.7717915
S0217,m5,1,single,-17.077676332476432,-6.5388467946030815,-13.740397,-34.11438,0.9742031,6.840507
S0218,m5,1,single,-17.581410586978457,-7.061367318783737,-13.774911,-32.89736,0.70124024,7.111665
S0219,m5,1,single,-17.69106937353426,-7.1303885561630205,-13.640164,-32.58538,0.6654029,7.1411743
S0220,m5,1,single,-17.44499453370107,-7.354928969880882,-13.620117,-32.67264,0.74054664,7.0708528
S0221,m5,1,single,-17.928981417601015,-6.690095316867045,-13.449607,-32.634163,0.6687637,7.1368337
S0222,m5,1,single,-17.855397910279027,-7.060903033805204,-12.92357,-33.095985,0.83124053,6.979603
S0223,m5,1,single,-17.876544637466367,-6.662651903337103,-13.281501,-32.922184,0.81207883,6.9976783
S0224,m5,1,single,-17.670006139136657,-7.099303153610343,-13.16963,-33.00575,0.80648875,7.0027194
S0225,m5,1,single,-17.50071305019632,-7.50528228034043,-13.097716,-33.270927,0.8689566,6.940211
